Kansis City Chiefs, Arrowhead Stadium, afc, west, 65
Dallas Cowboys, AT&T Stadium, nfc, east, 65
Carolina Panthers, Bank of America Stadium, nfc, south, 65
Denver Broncos, Broncos Stadium at Mile High, afc, west, 65
Seattle Seahawks, CenturyLink Field, nfc, west, 65
Washington Redskins, FedEx Field, nfc, east, 65
Cleveland Browns, FirstEnergy Stadium, afc, north, 65
Detroit Lions, Ford Field, nfc, north, 65
New England Patriots, Gillette Stadium, afc, east, 65
Miami Dolphins, Hard Rock Stadium, afc, east, 65
Pittsburgh Steelers, Heinz Field, afc, north, 65
Green Bay Packers, Lambeau Field, nfc, north, 65
San Francisco 49ers, Levi's Stadium, nfc, west, 65
Philadelphia Eagles, Lincoln Financial Field, nfc, east, 65
Los Angeles Rams, Los Angeles Memorial Coliseum,  nfc, west, 65
Indianapolis Colts, Lucas Oil Stadium, afc, south, 65
Baltimore Ravens, M&T Bank Stadium, afc, north, 65
New Orleans Saints, Mercedes-Benz Superdome, nfc, south, 65
Atlanta Falcons, Mercedes-Benz Stadium, nfc, south, 65
New York Giants, MetLife Stadium, nfc, east, 65
New York Jets, MetLife Stadium, afc, east, 65
Buffalo Bills, New Era Field, afc, east, 65
Tennessee Titans, Nissan Stadium, afc, south, 65
Houston Texans, NRG Stadium, afc, south, 65
Oakland Raiders, Oakland–Alameda County Coliseum,  afc, west, 65
Cincinnati Bengals, Paul Brown Stadium, afc, north, 65
Tampa Bay Buccaneers, Raymond James Stadium, nfc, south, 65
Chicago Bears, Soldier Field,  nfc, north, 65
Arizona Cardinals, State Farm Stadium, nfc, west, 65
Los Angeles Chargers, StubHub Center, afc, west, 65
Jacksonville Jaguars, TIAA Bank Field, afc, south, 65
Minnesota Vikings, U.S. Bank Stadium, nfc, north, 65
